,fight_card,fight_card_url,fighter1,fighter2,weight_class,winner,method,round
0,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Stipe Miocic,Daniel Cormier,Heavyweight,Stipe Miocic,KO/TKOPunches,4
1,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Nate Diaz,Anthony Pettis,Welterweight,Nate Diaz,U-DEC,3
2,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Paulo Costa,Yoel Romero,Middleweight,Paulo Costa,U-DEC,3
3,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Sodiq Yusuff,Gabriel Benitez,Featherweight,Sodiq Yusuff,KO/TKOPunch,1
4,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Derek Brunson,Ian Heinisch,Middleweight,Derek Brunson,U-DEC,3
5,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Khama Worthy,Devonte Smith,Lightweight,Khama Worthy,KO/TKOPunch,1
6,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Cory Sandhagen,Raphael Assuncao,Bantamweight,Cory Sandhagen,U-DEC,3
7,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Drakkar Klose,Christos Giagos,Lightweight,Drakkar Klose,U-DEC,3
8,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Casey Kenney,Manny Bermudez,Catch Weight,Casey Kenney,U-DEC,3
9,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Hannah Cifers,Jodie Esquibel,Women's Strawweight,Hannah Cifers,U-DEC,3
10,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Kyung Ho Kang,Brandon Davis,Bantamweight,Kyung Ho Kang,S-DEC,3
11,UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,Sabina Mazo,Shana Dobson,Women's Flyweight,Sabina Mazo,U-DEC,3
12,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Valentina Shevchenko,Liz Carmouche,Women's Flyweight,Valentina Shevchenko,U-DEC,5
13,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Vicente Luque,Mike Perry,Welterweight,Vicente Luque,S-DEC,3
14,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Eduardo Garagorri,Humberto Bandenay,Featherweight,Eduardo Garagorri,U-DEC,3
15,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Volkan Oezdemir,Ilir Latifi,Light Heavyweight,Volkan Oezdemir,KO/TKOPunch,2
16,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Rodolfo Vieira,Oskar Piechota,Middleweight,Rodolfo Vieira,SUBArm Triangle,2
17,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Enrique Barzola,Bobby Moffett,Featherweight,Enrique Barzola,S-DEC,3
18,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Gilbert Burns,Aleksei Kunchenko,Welterweight,Gilbert Burns,U-DEC,3
19,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Ciryl Gane,Raphael Pessoa,Heavyweight,Ciryl Gane,SUBArm Triangle,1
20,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Marina Rodriguez,Tecia Torres,Women's Strawweight,Marina Rodriguez,U-DEC,3
21,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Rogerio Bontorin,Raulian Paiva,Flyweight,Rogerio Bontorin,KO/TKO,1
22,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Chris Gutierrez,Geraldo de Freitas,Bantamweight,Chris Gutierrez,S-DEC,3
23,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Alex Da Silva,Kazula Vargas,Lightweight,Alex Da Silva,U-DEC,3
24,UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,Veronica Macedo,Polyana Viana,Women's Flyweight,Veronica Macedo,SUBArmbar,1
25,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Colby Covington,Robbie Lawler,Welterweight,Colby Covington,U-DEC,5
26,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Jim Miller,Clay Guida,Lightweight,Jim Miller,SUBGuillotine Choke,1
27,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Nasrat Haqparast,Joaquim Silva,Lightweight,Nasrat Haqparast,KO/TKOPunch,2
28,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Gerald Meerschaert,Trevin Giles,Middleweight,Gerald Meerschaert,SUBGuillotine Choke,3
29,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Scott Holtzman,Dong Hyun Ma,Lightweight,Scott Holtzman,KO/TKO,2
30,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Kennedy Nzechukwu,Darko Stosic,Light Heavyweight,Kennedy Nzechukwu,U-DEC,3
31,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Mickey Gall,Salim Touahri,Welterweight,Mickey Gall,U-DEC,3
32,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Antonina Shevchenko,Lucie Pudilova,Women's Flyweight,Antonina Shevchenko,SUBRear Naked Choke,2
33,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Matt Schnell,Jordan Espinosa,Flyweight,Matt Schnell,SUBTriangle Choke,1
34,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Lauren Murphy,Mara Romero Borella,Women's Flyweight,Lauren Murphy,KO/TKOKnee,3
35,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Claudio Silva,Cole Williams,Welterweight,Claudio Silva,SUBNeck Crank,1
36,UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,Miranda Granger,Hannah Goldy,Women's Flyweight,Miranda Granger,U-DEC,3
37,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Max Holloway,Frankie Edgar,Featherweight,Max Holloway,U-DEC,5
38,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Cris Cyborg,Felicia Spencer,Women's Featherweight,Cris Cyborg,U-DEC,3
39,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Geoff Neal,Niko Price,Welterweight,Geoff Neal,KO/TKOPunches,2
40,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Arman Tsarukyan,Olivier Aubin-Mercier,Lightweight,Arman Tsarukyan,U-DEC,3
41,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Krzysztof Jotko,Marc-Andre Barriault,Middleweight,Krzysztof Jotko,S-DEC,3
42,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Viviane Araujo,Alexis Davis,Women's Flyweight,Viviane Araujo,U-DEC,3
43,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Hakeem Dawodu,Yoshinori Horie,Featherweight,Hakeem Dawodu,KO/TKOKick,3
44,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Gavin Tucker,SeungWoo Choi,Featherweight,Gavin Tucker,SUBRear Naked Choke,3
45,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Deiveson Figueiredo,Alexandre Pantoja,Flyweight,Deiveson Figueiredo,U-DEC,3
46,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Gillian Robertson,Sarah Frota,Women's Flyweight,Gillian Robertson,KO/TKOElbows,2
47,UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,Erik Koch,Kyle Stewart,Welterweight,Erik Koch,U-DEC,3
48,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Leon Edwards,Rafael Dos Anjos,Welterweight,Leon Edwards,U-DEC,5
49,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Walt Harris,Aleksei Oleinik,Heavyweight,Walt Harris,KO/TKOPunch,1
50,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Greg Hardy,Juan Adams,Heavyweight,Greg Hardy,KO/TKOPunches,1
51,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Dan Hooker,James Vick,Lightweight,Dan Hooker,KO/TKOPunch,1
52,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Alexander Hernandez,Francisco Trinaldo,Lightweight,Alexander Hernandez,U-DEC,3
53,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Andrei Arlovski,Ben Rothwell,Heavyweight,Andrei Arlovski,U-DEC,3
54,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Alex Caceres,Steven Peterson,Featherweight,Alex Caceres,U-DEC,3
55,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Raquel Pennington,Irene Aldana,Women's Bantamweight,Raquel Pennington,S-DEC,3
56,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Klidson Abreu,Sam Alvey,Light Heavyweight,Klidson Abreu,U-DEC,3
57,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Jennifer Maia,Roxanne Modafferi,Women's Flyweight,Jennifer Maia,U-DEC,3
58,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Ray Borg,Gabriel Silva,Bantamweight,Ray Borg,U-DEC,3
59,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Mario Bautista,Jinsoo Son,Bantamweight,Mario Bautista,U-DEC,3
60,UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,Felipe Colares,Domingo Pilarte,Bantamweight,Felipe Colares,S-DEC,3
61,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Germaine de Randamie,Aspen Ladd,Women's Bantamweight,Germaine de Randamie,KO/TKOPunch,1
62,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Urijah Faber,Ricky Simon,Bantamweight,Urijah Faber,KO/TKOPunch,1
63,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Josh Emmett,Mirsad Bektic,Featherweight,Josh Emmett,KO/TKOPunches,1
64,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Karl Roberson,Wellington Turman,Middleweight,Karl Roberson,S-DEC,3
65,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Marvin Vettori,Cezar Ferreira,Middleweight,Marvin Vettori,U-DEC,3
66,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,John Allan,Mike Rodriguez,Light Heavyweight,John Allan,U-DEC,3
67,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Andre Fili,Sheymon Moraes,Featherweight,Andre Fili,KO/TKOPunch,1
68,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Julianna Pena,Nicco Montano,Women's Bantamweight,Julianna Pena,U-DEC,3
69,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Ryan Hall,Darren Elkins,Featherweight,Ryan Hall,U-DEC,3
70,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Jonathan Martinez,Liu Pingyuan,Bantamweight,Jonathan Martinez,KO/TKOKnee,3
71,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Brianna Van Buren,Livinha Souza,Women's Strawweight,Brianna Van Buren,U-DEC,3
72,UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,Benito Lopez,Vince Morales,Bantamweight,Benito Lopez,U-DEC,3
73,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Jon Jones,Thiago Santos,Light Heavyweight,Jon Jones,S-DEC,5
74,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Amanda Nunes,Holly Holm,Women's Bantamweight,Amanda Nunes,KO/TKOKick,1
75,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Jorge Masvidal,Ben Askren,Welterweight,Jorge Masvidal,KO/TKOFlying Knee,1
76,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Jan Blachowicz,Luke Rockhold,Light Heavyweight,Jan Blachowicz,KO/TKOPunch,2
77,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Michael Chiesa,Diego Sanchez,Welterweight,Michael Chiesa,U-DEC,3
78,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Arnold Allen,Gilbert Melendez,Featherweight,Arnold Allen,U-DEC,3
79,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Marlon Vera,Nohelin Hernandez,Bantamweight,Marlon Vera,SUBRear Naked Choke,2
80,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Claudia Gadelha,Randa Markos,Women's Strawweight,Claudia Gadelha,U-DEC,3
81,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Song Yadong,Alejandro Perez,Bantamweight,Song Yadong,KO/TKOPunch,1
82,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Edmen Shahbazyan,Jack Marshman,Middleweight,Edmen Shahbazyan,SUBRear Naked Choke,1
83,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Chance Rencountre,Ismail Naurdiev,Welterweight,Chance Rencountre,U-DEC,3
84,UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,Julia Avila,Pannie Kianzad,Women's Bantamweight,Julia Avila,U-DEC,3
85,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Francis Ngannou,Junior Dos Santos,Heavyweight,Francis Ngannou,KO/TKOPunch,1
86,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Joseph Benavidez,Jussier Formiga,Flyweight,Joseph Benavidez,KO/TKOPunches,2
87,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Demian Maia,Anthony Rocco Martin,Welterweight,Demian Maia,M-DEC,3
88,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Vinc Pichel,Roosevelt Roberts,Lightweight,Vinc Pichel,U-DEC,3
89,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Drew Dober,Polo Reyes,Lightweight,Drew Dober,KO/TKOPunches,1
90,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Alonzo Menifield,Paul Craig,Light Heavyweight,Alonzo Menifield,KO/TKOPunch,1
91,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Ricardo Ramos,Journey Newson,Bantamweight,Ricardo Ramos,U-DEC,3
92,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Eryk Anders,Vinicius Moreira,Light Heavyweight,Eryk Anders,KO/TKOPunch,1
93,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Jared Gordon,Dan Moret,Lightweight,Jared Gordon,U-DEC,3
94,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Dalcha Lungiambula,Dequan Townsend,Light Heavyweight,Dalcha Lungiambula,KO/TKOPunch,3
95,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Amanda Ribas,Emily Whitmire,Women's Strawweight,Amanda Ribas,SUBRear Naked Choke,2
96,UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,Maurice Greene,Junior Albini,Heavyweight,Maurice Greene,KO/TKOPunch,1
97,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Chan Sung Jung,Renato Moicano,Featherweight,Chan Sung Jung,KO/TKOPunch,1
98,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Randy Brown,Bryan Barberena,Welterweight,Randy Brown,KO/TKOKick,3
99,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Andre Ewell,Anderson Dos Santos,Bantamweight,Andre Ewell,U-DEC,3
100,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Andrea Lee,Montana De La Rosa,Women's Flyweight,Andrea Lee,U-DEC,3
101,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Kevin Holland,Alessio Di Chirico,Middleweight,Kevin Holland,U-DEC,3
102,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Dan Ige,Kevin Aguilar,Featherweight,Dan Ige,U-DEC,3
103,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Ashley Yoder,Syuri Kondo,Women's Strawweight,Ashley Yoder,U-DEC,3
104,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Luis Pena,Matt Wiman,Lightweight,Luis Pena,KO/TKOPunches,3
105,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Jairzinho Rozenstruik,Allen Crowder,Heavyweight,Jairzinho Rozenstruik,KO/TKOPunches,1
106,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Molly McCann,Ariane Lipski,Women's Flyweight,Molly McCann,U-DEC,3
107,UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,Deron Winn,Eric Spicely,Middleweight,Deron Winn,U-DEC,3
108,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Henry Cejudo,Marlon Moraes,Bantamweight,Henry Cejudo,KO/TKOPunches,3
109,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Valentina Shevchenko,Jessica Eye,Women's Flyweight,Valentina Shevchenko,KO/TKOKick,2
110,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Tony Ferguson,Donald Cerrone,Lightweight,Tony Ferguson,KO/TKO,2
111,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Petr Yan,Jimmie Rivera,Bantamweight,Petr Yan,U-DEC,3
112,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Blagoy Ivanov,Tai Tuivasa,Heavyweight,Blagoy Ivanov,U-DEC,3
113,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Tatiana Suarez,Nina Ansaroff,Women's Strawweight,Tatiana Suarez,U-DEC,3
114,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Aljamain Sterling,Pedro Munhoz,Bantamweight,Aljamain Sterling,U-DEC,3
115,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Alexa Grasso,Karolina Kowalkiewicz,Women's Strawweight,Alexa Grasso,U-DEC,3
116,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Calvin Kattar,Ricardo Lamas,Featherweight,Calvin Kattar,KO/TKOPunch,1
117,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Yan Xiaonan,Angela Hill,Women's Strawweight,Yan Xiaonan,U-DEC,3
118,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Darren Stewart,Bevon Lewis,Middleweight,Darren Stewart,U-DEC,3
119,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Eddie Wineland,Grigorii Popov,Bantamweight,Eddie Wineland,KO/TKOPunch,2
120,UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,Katlyn Chookagian,Joanne Calderwood,Women's Flyweight,Katlyn Chookagian,U-DEC,3
121,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Anthony Smith,Alexander Gustafsson,Light Heavyweight,Anthony Smith,SUBRear Naked Choke,4
122,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Aleksandar Rakic,Jimi Manuwa,Light Heavyweight,Aleksandar Rakic,KO/TKOKick,1
123,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Makwan Amirkhani,Chris Fishgold,Featherweight,Makwan Amirkhani,SUBAnaconda Choke,2
124,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Christos Giagos,Damir Hadzovic,Lightweight,Christos Giagos,U-DEC,3
125,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Daniel Teymur,Sung Bin Jo,Featherweight,Daniel Teymur,U-DEC,3
126,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Sergey Khandozhko,Rostem Akman,Welterweight,Sergey Khandozhko,U-DEC,3
127,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Lina Lansberg,Tonya Evinger,Women's Bantamweight,Lina Lansberg,U-DEC,3
128,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Leonardo Santos,Stevie Ray,Lightweight,Leonardo Santos,KO/TKOPunch,1
129,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Frank Camacho,Nick Hein,Lightweight,Frank Camacho,KO/TKOPunches,2
130,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Bea Malecki,Duda Santana,Women's Bantamweight,Bea Malecki,SUBRear Naked Choke,2
131,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Devin Clark,Darko Stosic,Light Heavyweight,Devin Clark,U-DEC,3
132,UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,Joel Alvarez,Danilo Belluardo,Lightweight,Joel Alvarez,KO/TKOPunches,2
133,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Rafael Dos Anjos,Kevin Lee,Welterweight,Rafael Dos Anjos,SUBArm Triangle,4
134,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Ian Heinisch,Antonio Carlos Junior,Middleweight,Ian Heinisch,U-DEC,3
135,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Felicia Spencer,Megan Anderson,Women's Featherweight,Felicia Spencer,SUBRear Naked Choke,1
136,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Vicente Luque,Derrick Krantz,Welterweight,Vicente Luque,KO/TKOPunch,1
137,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Charles Oliveira,Nik Lentz,Lightweight,Charles Oliveira,KO/TKOPunch,2
138,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Davi Ramos,Austin Hubbard,Lightweight,Davi Ramos,U-DEC,3
139,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Aspen Ladd,Sijara Eubanks,Women's Bantamweight,Aspen Ladd,U-DEC,3
140,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Desmond Green,Charles Jourdain,Lightweight,Desmond Green,U-DEC,3
141,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Michel Pereira,Danny Roberts,Welterweight,Michel Pereira,KO/TKOFlying Knee,1
142,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Grant Dawson,Michael Trizano,Featherweight,Grant Dawson,SUBRear Naked Choke,2
143,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Ed Herman,Patrick Cummins,Light Heavyweight,Ed Herman,KO/TKOKnee,1
144,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Zak Cummings,Trevin Giles,Middleweight,Zak Cummings,SUBGuillotine Choke,3
145,UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,Julio Arce,Julian Erosa,Featherweight,Julio Arce,KO/TKOKick,3
146,UFC 237: Namajunas vs. Andrade,http://ufcstats.com/event-details/9de7c97e1c0d7927,Jessica Andrade,Rose Namajunas,Women's Strawweight,Jessica Andrade,KO/TKOSlam,2
147,UFC 237: Namajunas vs. Andrade,http://ufcstats.com/event-details/9de7c97e1c0d7927,Jared Cannonier,Anderson Silva,Middleweight,Jared Cannonier,KO/TKOKick,1
148,UFC 237: Namajunas vs. Andrade,http://ufcstats.com/event-details/9de7c97e1c0d7927,Alexander Volkanovski,Jose Aldo,Featherweight,Alexander Volkanovski,U-DEC,3
