,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url
1057,David,Gomez,,--,155 lbs.,--,,1,2,0,http://ufcstats.com/fighter-details/489413d3be819647
1058,Ulysses,Gomez,Useless,"5' 6""",125 lbs.,"66.0""",Orthodox,9,4,0,http://ufcstats.com/fighter-details/1e35aa8955794580
1059,Joey,Gomez,,"5' 10""",155 lbs.,"71.0""",Orthodox,7,1,0,http://ufcstats.com/fighter-details/0778f94eb5d588a5
1060,Luis,Gomez,Tiger Junior,"5' 7""",145 lbs.,"68.0""",Orthodox,4,1,0,http://ufcstats.com/fighter-details/513e84bfe65ff509
1061,Silvana,Juarez,La Malvada,"5' 3""",125 lbs.,--,Orthodox,6,2,0,http://ufcstats.com/fighter-details/b4880ef2f838d4e1
1062,Takanori,Gomi,The Fireball Kid,"5' 7""",155 lbs.,"70.0""",Southpaw,35,14,0,http://ufcstats.com/fighter-details/3be081c29bf734d9
1063,Akihiro,Gono,,"5' 7""",170 lbs.,"68.0""",Switch,32,16,7,http://ufcstats.com/fighter-details/b2acebbef8da14ea
1064,Gabriel,Gonzaga,Napao,"6' 2""",242 lbs.,"76.0""",Orthodox,17,11,0,http://ufcstats.com/fighter-details/270b89c00ef0c55c
1065,Justin,Gonzales,J-Train,"5' 9""",145 lbs.,"72.0""",Orthodox,9,0,0,http://ufcstats.com/fighter-details/94535f76f43b466a
1066,Fernando,Gonzalez,The Menifee Maniac,"5' 9""",170 lbs.,"68.0""",Southpaw,19,11,0,http://ufcstats.com/fighter-details/be5aab761c40ef35
1067,Nick,Gonzalez,The Ghost,"5' 6""",155 lbs.,--,Orthodox,17,9,0,http://ufcstats.com/fighter-details/28d8638ea0a71908
1068,Fabian,Gonzalez,,"5' 10""",135 lbs.,--,,2,1,0,http://ufcstats.com/fighter-details/69c071bc2621e8b0
1069,Lewis,Gonzalez,Lethal,"5' 10""",170 lbs.,"73.0""",Orthodox,10,2,0,http://ufcstats.com/fighter-details/2ff2e6e5abea3e53
1070,Jason,Gonzalez,Nicoya,"6' 2""",155 lbs.,"74.0""",Southpaw,11,5,0,http://ufcstats.com/fighter-details/e45cfa47f504033a
1071,Pearl,Gonzalez,,"5' 4""",115 lbs.,"68.0""",Orthodox,6,3,0,http://ufcstats.com/fighter-details/1ebdcb7488d0ebee
1072,Kier,Gooch,,--,155 lbs.,--,,2,7,0,http://ufcstats.com/fighter-details/1bda4867f1baceac
1073,Lyman,Good,Cyborg,"6' 0""",170 lbs.,"74.0""",Orthodox,20,5,0,http://ufcstats.com/fighter-details/4e0692ad070976e4
1074,Gary,Goodridge,Big Daddy,"6' 3""",249 lbs.,--,Orthodox,23,22,1,http://ufcstats.com/fighter-details/fbbde91f7bc2d3c5
1075,Jordan,Goodwin,,--,155 lbs.,--,,0,0,0,http://ufcstats.com/fighter-details/7f98d9d5a10fa25c
1076,Gerard,Gordeau,,"6' 5""",216 lbs.,--,Orthodox,2,2,0,http://ufcstats.com/fighter-details/279093302a6f44b3
1077,Eddie,Gordon,Truck,"6' 0""",185 lbs.,"76.0""",Orthodox,8,4,0,http://ufcstats.com/fighter-details/8cad40a75e5c97f5
1078,Jared,Gordon,Flash,"5' 9""",155 lbs.,"68.0""",Orthodox,15,3,0,http://ufcstats.com/fighter-details/7026eca45f65377b
1079,Tebaris,Gordon,Boom,"6' 1""",265 lbs.,"78.0""",Orthodox,3,1,0,http://ufcstats.com/fighter-details/68c4ca70067bf282
1080,Alex,Gorgees,Hitman,"6' 2""",155 lbs.,"74.0""",Switch,7,1,0,http://ufcstats.com/fighter-details/803bebcfb6d6f506
1081,Tim,Gorman,The Psycho,"5' 5""",135 lbs.,"68.0""",Southpaw,9,4,0,http://ufcstats.com/fighter-details/c10eb2f12c489f6d
1082,Chase,Gormley,,"6' 3""",265 lbs.,--,Orthodox,7,4,0,http://ufcstats.com/fighter-details/052ceb8976695342
1083,Jonathan,Goulet,The Road Warrior,"6' 0""",170 lbs.,"73.0""",Orthodox,23,12,0,http://ufcstats.com/fighter-details/fb1538b46877a695
1084,Thibault,Gouti,GT,"5' 10""",155 lbs.,"72.0""",Orthodox,12,5,0,http://ufcstats.com/fighter-details/51e86de150ee8be6
1085,Wilson,Gouveia,,"6' 1""",185 lbs.,"76.0""",Orthodox,12,8,0,http://ufcstats.com/fighter-details/af5b208e97f5d382
1086,Todd,Gouwenberg,,"6' 1""",205 lbs.,--,Orthodox,9,5,0,http://ufcstats.com/fighter-details/c44acf87e376c62b
1087,Hugo,Govea,,--,--,--,,0,1,0,http://ufcstats.com/fighter-details/2391a73686200c5d
1088,Justin,Governale,The Therapist,--,145 lbs.,--,,5,5,0,http://ufcstats.com/fighter-details/ae954fd497025462
1089,Damian,Grabowski,The Polish Pitbull,"6' 1""",241 lbs.,"75.0""",Orthodox,20,5,0,http://ufcstats.com/fighter-details/3f11b5d4bd76a6d9
