,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url
0,Tom,Aaron,,--,155 lbs.,--,,5,3,0,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
1,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,http://ufcstats.com/fighter-details/15df64c02b6b0fde
2,David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,14,0,http://ufcstats.com/fighter-details/b361180739bed4b0
3,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,4,0,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
4,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,14,3,http://ufcstats.com/fighter-details/c0ed7b208197e8de
5,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,http://ufcstats.com/fighter-details/5140122c3eecd307
6,Papy,Abedi,Makambo,"5' 11""",185 lbs.,"74.0""",Southpaw,9,3,0,http://ufcstats.com/fighter-details/c9f6385af6df66d7
7,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,"73.0""",Orthodox,5,3,0,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
8,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,3,0,http://ufcstats.com/fighter-details/7279654c7674cd24
9,Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,26,12,0,http://ufcstats.com/fighter-details/1c5879330d42255f
10,Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,http://ufcstats.com/fighter-details/2620f3eb21c79614
11,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,2,0,http://ufcstats.com/fighter-details/83b00f7597e5ac83
12,Anthony,Adams,Sugafoot,"6' 0""",185 lbs.,"77.0""",Orthodox,7,1,0,http://ufcstats.com/fighter-details/a77633a989013265
13,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,17,0,0,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
14,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,http://ufcstats.com/fighter-details/0e9869d712e81f8f
15,Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
16,Mariya,Agapova,,"5' 8""",125 lbs.,--,Southpaw,6,1,0,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
17,Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,http://ufcstats.com/fighter-details/44aa652b181bcf68
18,Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,22,16,0,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
19,Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,http://ufcstats.com/fighter-details/8f382b3baa954d2a
20,Kevin,Aguilar,Angel of Death,"5' 7""",145 lbs.,"73.0""",Orthodox,17,2,0,http://ufcstats.com/fighter-details/cf946e03ba2e7666
21,Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,12,6,1,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
22,Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,8,0,http://ufcstats.com/fighter-details/2eada40ac8801559
23,Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,18,4,1,http://ufcstats.com/fighter-details/16690d100f995f8f
24,Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"73.0""",Orthodox,14,6,0,http://ufcstats.com/fighter-details/b0550072e5f0afa7
25,Rostem,Akman,Kurdimus Prime,"5' 10""",170 lbs.,"72.0""",Switch,6,1,0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
26,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,11,5,0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
27,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,http://ufcstats.com/fighter-details/1cf1310684a841f5
28,Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",Orthodox,5,1,0,http://ufcstats.com/fighter-details/7578cc6bd750206b
29,Javi,Alanis,,"5' 6""",135 lbs.,--,,0,3,0,http://ufcstats.com/fighter-details/2144954270be834d
30,Heili,Alateng,,"5' 6""",125 lbs.,--,,12,7,1,http://ufcstats.com/fighter-details/1897b7b913736a7c
31,Brett,Albee,,--,225 lbs.,--,,3,1,0,http://ufcstats.com/fighter-details/9b28292abe3166d5
32,John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",,7,5,0,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
33,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",Orthodox,14,6,0,http://ufcstats.com/fighter-details/c482c8605455a213
34,Wes,Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/184b955181bdef52
35,Alexandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,7,1,0,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
36,Israel,Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,http://ufcstats.com/fighter-details/dd1b90eea08887f6
37,Juan,Alcain,,--,--,--,,1,2,0,http://ufcstats.com/fighter-details/39f62b833e4cf126
38,Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
39,Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,8,0,http://ufcstats.com/fighter-details/7c6e87729e824ef4
40,Alfonso,Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,http://ufcstats.com/fighter-details/1e38bba6738b7b10
41,Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,http://ufcstats.com/fighter-details/d26934530dc5b248
42,Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,10,5,0,http://ufcstats.com/fighter-details/578ef12674df1e6a
43,Hector,Aldana,El Charro,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,http://ufcstats.com/fighter-details/c487223b0289bda9
44,Jose,Aldo,,"5' 7""",145 lbs.,"70.0""",Orthodox,28,5,0,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
45,JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,7,3,0,http://ufcstats.com/fighter-details/6fd953151d981979
46,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0,http://ufcstats.com/fighter-details/fe5a9547479396ab
47,John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,34,16,0,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
48,Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,13,8,1,http://ufcstats.com/fighter-details/0541480fbf719d86
49,Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,5,5,0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
50,Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0,http://ufcstats.com/fighter-details/d53482bef23235ba
51,Olaf,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,11,0,http://ufcstats.com/fighter-details/b757c73f443d4fca
52,Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,6,5,0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
53,Levi,Alford,,--,--,--,,1,4,0,http://ufcstats.com/fighter-details/41b34b7f11f6d085
54,Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,12,3,0,http://ufcstats.com/fighter-details/9abc648e76c4493a
55,Royce,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0,http://ufcstats.com/fighter-details/669a3cb6e394f515
56,Amir,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0,http://ufcstats.com/fighter-details/e17770faae3ca54c
57,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0,http://ufcstats.com/fighter-details/e70de1859b7ee78e
58,John,Allan,,"6' 3""",205 lbs.,"75.0""",Orthodox,14,5,0,http://ufcstats.com/fighter-details/6ebe96a116e79e52
59,George,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2,http://ufcstats.com/fighter-details/1e13936d708bcff7
60,Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,15,1,0,http://ufcstats.com/fighter-details/040a74bb0a465c54
61,Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,11,3,0,http://ufcstats.com/fighter-details/2f181c0467965b98
62,Benny,Alloway,Blanco,"5' 11""",170 lbs.,"75.0""",Orthodox,13,6,0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
63,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0,http://ufcstats.com/fighter-details/91186547a7f3f758
64,Magno,Almeida,,"6' 0""",155 lbs.,--,,9,3,0,http://ufcstats.com/fighter-details/d615d6a10a4704cd
65,Thomas,Almeida,Thominhas,"5' 7""",135 lbs.,"70.0""",Southpaw,22,3,0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
66,Ericka,Almeida,,"5' 6""",115 lbs.,"68.0""",,7,2,0,http://ufcstats.com/fighter-details/67a992d4cff22466
67,Estefani,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,2,0,http://ufcstats.com/fighter-details/f16ddfa31236efed
68,Mauricio,Alonso,,"6' 2""",170 lbs.,--,,13,7,0,http://ufcstats.com/fighter-details/c6bf75775b278ed8
69,Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,--,Southpaw,8,4,0,http://ufcstats.com/fighter-details/49b130de1da2e1bf
70,Rico,Altamirano,,"5' 10""",170 lbs.,--,,3,2,0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
71,Mike,Altman,,"5' 10""",185 lbs.,--,Orthodox,1,4,0,http://ufcstats.com/fighter-details/c11036da9162cb5f
72,Sean,Alvarez,,"6' 0""",235 lbs.,--,Orthodox,4,3,0,http://ufcstats.com/fighter-details/e741536153227386
73,Eddie,Alvarez,The Underground King,"5' 9""",155 lbs.,"69.0""",Orthodox,29,6,0,http://ufcstats.com/fighter-details/33a331684283900f
74,Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",Orthodox,6,1,0,http://ufcstats.com/fighter-details/4438482bd1d5a029
75,Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",Orthodox,16,2,0,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
76,Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",Orthodox,28,14,0,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
77,Anthony,Alves,,--,--,--,,1,3,0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
78,Amilcar,Alves,,"6' 0""",170 lbs.,--,Southpaw,11,4,0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
79,Warlley,Alves,,"5' 11""",170 lbs.,"72.0""",Orthodox,14,3,0,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
80,Vinicius,Moreira,Mamute,"6' 4""",205 lbs.,"76.0""",Orthodox,9,3,0,http://ufcstats.com/fighter-details/acb36c908d415c4a
81,Sam,Alvey,Smile'N,"6' 2""",205 lbs.,"75.0""",Southpaw,33,13,0,http://ufcstats.com/fighter-details/d156513a19acf856
82,Andre,Amado,Dida,"6' 0""",154 lbs.,--,Orthodox,6,4,1,http://ufcstats.com/fighter-details/20821819c401ced8
83,Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",Orthodox,13,2,1,http://ufcstats.com/fighter-details/1e327b281ef6a745
84,Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,Southpaw,7,3,0,http://ufcstats.com/fighter-details/247fbbfafea60bb1
85,Chris,Amarante,,--,185 lbs.,--,,2,0,0,http://ufcstats.com/fighter-details/ee0b69e307c857e5
86,Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,Southpaw,15,18,1,http://ufcstats.com/fighter-details/c912f676692c353a
87,JJ,Ambrose,,"5' 10""",170 lbs.,--,Orthodox,17,3,0,http://ufcstats.com/fighter-details/d562b12b8fe88336
88,Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",Orthodox,8,1,0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
89,Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",Southpaw,15,3,0,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
90,Bertrand,Amoussou,,"5' 8""",190 lbs.,--,Orthodox,1,1,0,http://ufcstats.com/fighter-details/53adf5b845d91e4a
91,Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,Orthodox,12,4,2,http://ufcstats.com/fighter-details/23a8c33869bf5392
92,Eryk,Anders,Ya Boi,"6' 1""",205 lbs.,"75.0""",Southpaw,12,4,0,http://ufcstats.com/fighter-details/cad24459b28592ca
93,Matt,Andersen,,"6' 2""",230 lbs.,--,Southpaw,14,8,1,http://ufcstats.com/fighter-details/8738eacd62e82a32
94,Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,,0,1,0,http://ufcstats.com/fighter-details/9199e0735b83dd32
95,Lowell,Anderson,,"5' 6""",160 lbs.,--,Orthodox,0,1,0,http://ufcstats.com/fighter-details/1ffc38f67785797b
96,Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",Orthodox,13,4,0,http://ufcstats.com/fighter-details/5e4eec08896c9423
97,Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,,14,3,0,http://ufcstats.com/fighter-details/19ba965651486013
98,Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",Orthodox,9,4,0,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
99,Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,Orthodox,10,5,0,http://ufcstats.com/fighter-details/1562b12763cc8d67
100,Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",Orthodox,20,6,0,http://ufcstats.com/fighter-details/6a1901c62ab3870f
101,Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",Orthodox,19,7,0,http://ufcstats.com/fighter-details/d221ee27afc7a60e
102,Jermaine,Andre,,"5' 7""",200 lbs.,--,Orthodox,14,4,0,http://ufcstats.com/fighter-details/9bad58fa651d6196
103,Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"73.0""",Switch,18,8,0,http://ufcstats.com/fighter-details/00debc804e2b1cd4
104,Reese,Andy,Riptide,"6' 0""",205 lbs.,--,Orthodox,7,3,0,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
105,Julius,Anglickas,,"6' 3""",205 lbs.,--,Orthodox,6,1,0,http://ufcstats.com/fighter-details/e20ad078a7d63361
106,Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,Orthodox,0,5,1,http://ufcstats.com/fighter-details/e06fd1260ac865a7
107,Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",Orthodox,11,1,0,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
108,Nina,Ansaroff,The Strina,"5' 5""",115 lbs.,"64.0""",Orthodox,10,6,0,http://ufcstats.com/fighter-details/d343df8ba11f4c4e
109,Gadzhimurad,Antigulov,,"5' 11""",205 lbs.,"70.0""",Orthodox,20,6,0,http://ufcstats.com/fighter-details/af997f7611673880
110,Adam,Antolin,Captain Chaos,"5' 5""",125 lbs.,"63.0""",Orthodox,12,3,0,http://ufcstats.com/fighter-details/25b31165758402dd
111,Angelo,Antonio,,--,205 lbs.,--,Orthodox,1,3,0,http://ufcstats.com/fighter-details/dbd198f780286aca
112,Zu,Anyanwu,8th Wonder,"6' 1""",251 lbs.,"77.0""",Orthodox,14,5,0,http://ufcstats.com/fighter-details/78d48d3874dacafd
113,Shinsho,Anzai,Animal,"5' 7""",170 lbs.,"70.0""",Orthodox,10,3,0,http://ufcstats.com/fighter-details/4665f9f909cd7214
114,Shinya,Aoki,Tobikan Judan,"5' 11""",154 lbs.,--,Southpaw,30,5,0,http://ufcstats.com/fighter-details/79ded75550efc139
115,Josh,Appelt,The Juggernaut,"5' 10""",255 lbs.,"73.0""",Southpaw,15,6,0,http://ufcstats.com/fighter-details/0c1a04afca64e38f
116,Erik,Apple,,"6' 0""",170 lbs.,--,Orthodox,10,3,0,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
117,Kenji,Arai,,"5' 10""",145 lbs.,--,Southpaw,15,15,5,http://ufcstats.com/fighter-details/269d103c96a4c3a5
118,Romie,Aram,,"5' 10""",170 lbs.,--,Orthodox,7,1,0,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
119,Felipe,Arantes,Sertanejo,"5' 8""",135 lbs.,"73.0""",Orthodox,18,10,1,http://ufcstats.com/fighter-details/71002dbc1743b9a7
120,Igor,Araujo,,"6' 1""",170 lbs.,"77.0""",Orthodox,25,8,0,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
121,Viviane,Araujo,Vivi,"5' 4""",125 lbs.,"68.0""",Orthodox,8,1,0,http://ufcstats.com/fighter-details/36541f1e6c5d4955
122,Julio,Arce,,"5' 7""",145 lbs.,"70.0""",Southpaw,16,3,0,http://ufcstats.com/fighter-details/1291edf2d566a71a
123,Art,Arciniega,King Arthur,"5' 8""",145 lbs.,--,,15,7,0,http://ufcstats.com/fighter-details/d25e39e74efb0a77
124,Tristan,Arenal,,--,155 lbs.,--,,4,1,0,http://ufcstats.com/fighter-details/9c9455912d917e4e
125,Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,28,18,0,http://ufcstats.com/fighter-details/3738e68d2261e60f
126,Joey,Armstrong,,--,--,--,,5,2,0,http://ufcstats.com/fighter-details/30ad2050273d016a
127,Austin,Arnett,Golden Boy,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,http://ufcstats.com/fighter-details/bf0e700106d00e55
128,Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,http://ufcstats.com/fighter-details/05fbfe628658c538
129,Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,http://ufcstats.com/fighter-details/770b9d4813c25902
130,Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,10,1,http://ufcstats.com/fighter-details/c136b2a8852da5bd
131,Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,http://ufcstats.com/fighter-details/de62052b2ede65ba
132,Antonio,Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,8,2,0,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
133,Gilles,Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,http://ufcstats.com/fighter-details/2dea80c069847321
134,Veta,Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,http://ufcstats.com/fighter-details/91e3388e69060e69
135,Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,"71.0""",,7,4,0,http://ufcstats.com/fighter-details/49f78022126bf4a4
136,Teddy,Ash,Bear,"6' 1""",185 lbs.,--,,14,4,0,http://ufcstats.com/fighter-details/a373085066dbfb54
137,Askar,Askarov,Bullet,"5' 5""",125 lbs.,--,,10,0,0,http://ufcstats.com/fighter-details/b1d19449397541dc
138,Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,http://ufcstats.com/fighter-details/9be6020024133293
139,Scott,Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,http://ufcstats.com/fighter-details/06827d70c53ff0d9
140,Ben,Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,1,0,http://ufcstats.com/fighter-details/0b31f87be71ebbb1
141,Bruno,Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,3,0,http://ufcstats.com/fighter-details/ff222167cce02919
142,Junior,Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,13,4,0,http://ufcstats.com/fighter-details/d0d7160824278840
143,Raphael,Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,27,7,0,http://ufcstats.com/fighter-details/2f13e4020cea5b38
144,Bazigit,Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,http://ufcstats.com/fighter-details/fd7acf42bd6e7e95
145,Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,http://ufcstats.com/fighter-details/210935fd21670f6d
146,Olivier,Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,12,5,0,http://ufcstats.com/fighter-details/55ee431411ccf07a
147,Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,9,2,1,http://ufcstats.com/fighter-details/196ed28337adc630
148,Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,21,10,0,http://ufcstats.com/fighter-details/04643fd03d9159cc
149,David,Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,http://ufcstats.com/fighter-details/956dcac65e7b34d6
150,Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,7,6,0,http://ufcstats.com/fighter-details/8753e125f4499816
151,Levi,Avera,,"6' 1""",170 lbs.,--,,16,10,0,http://ufcstats.com/fighter-details/ba5c6eeb8ef45f5c
152,Anthony,Avila,,"5' 7""",145 lbs.,--,,6,1,0,http://ufcstats.com/fighter-details/033d19259f589457
153,Chris,Avila,,"5' 10""",145 lbs.,"72.0""",Orthodox,5,4,0,http://ufcstats.com/fighter-details/4665cbf36b08193b
154,Julia,Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,7,1,0,http://ufcstats.com/fighter-details/86d9dbe1bfcbade7
155,Saad,Awad,Assassin,"5' 11""",155 lbs.,--,,9,5,0,http://ufcstats.com/fighter-details/da603332ad41f165
156,Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,--,,10,5,0,http://ufcstats.com/fighter-details/26387c19f32dda0f
157,Jessin,Ayari,Abacus,"6' 0""",155 lbs.,"73.0""",Orthodox,16,5,0,http://ufcstats.com/fighter-details/6eaec40f724852f4
158,Abu,Azaitar,Gladiator,"5' 9""",185 lbs.,"76.0""",Orthodox,14,1,1,http://ufcstats.com/fighter-details/46d0a888d87d91ac
159,Ottman,Azaitar,Bulldozer,--,170 lbs.,--,,11,0,0,http://ufcstats.com/fighter-details/ee18ff42063174df
160,Luiz,Azeredo,,"5' 9""",154 lbs.,--,Orthodox,15,10,0,http://ufcstats.com/fighter-details/063649e21bc9d6d5
161,Luciano,Azevedo,,"6' 3""",161 lbs.,--,Orthodox,16,9,1,http://ufcstats.com/fighter-details/9bcfb40dbcd50568
162,Hunter,Azure,,"5' 8""",135 lbs.,"70.0""",Orthodox,6,0,0,http://ufcstats.com/fighter-details/2af2f2e26c4c0402
163,Niklas,Backstrom,,"6' 1""",145 lbs.,"74.0""",Orthodox,8,2,0,http://ufcstats.com/fighter-details/39cc64bf0a269db9
164,Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"74.0""",Orthodox,18,11,0,http://ufcstats.com/fighter-details/fd5b6598a3b70c0a
165,Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,http://ufcstats.com/fighter-details/c0ab242c40decc55
166,Izabela,Badurek,,"5' 5""",115 lbs.,--,Orthodox,5,3,0,http://ufcstats.com/fighter-details/4fcf6e0c4e0e6664
167,Miguel,Baeza,,"6' 2""",170 lbs.,"74.0""",Orthodox,6,0,0,http://ufcstats.com/fighter-details/82d4c957649faf9b
168,Ali,Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,14,5,0,http://ufcstats.com/fighter-details/3dd92ff9fb0412b3
169,Mehdi,Baghdad,The Sultan,"6' 1""",155 lbs.,"75.0""",Orthodox,11,4,0,http://ufcstats.com/fighter-details/e4d2564ea0e34e2b
170,Siyar,Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,7,1,http://ufcstats.com/fighter-details/aec185309b4843d0
171,Shamar,Bailey,,"5' 9""",155 lbs.,"75.0""",,12,5,0,http://ufcstats.com/fighter-details/e2b8186b618b00c4
172,Jordan,Bailey,,"5' 9""",145 lbs.,--,,6,3,0,http://ufcstats.com/fighter-details/34dbcd4dbaf21a36
173,Scott,Baker,,"6' 0""",210 lbs.,--,,1,1,0,http://ufcstats.com/fighter-details/7d5b12de1625984e
174,Bryan,Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,16,3,0,http://ufcstats.com/fighter-details/898337ef520fe4d3
175,Oluwale,Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4,0,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c
176,Stephen,Banaszak,,"6' 0""",145 lbs.,--,,5,5,0,http://ufcstats.com/fighter-details/4c4b44e3cf5815b3
177,Marcin,Bandel,Bomba,"5' 10""",155 lbs.,"70.0""",Orthodox,13,4,0,http://ufcstats.com/fighter-details/5c2ce761399dc9c5
178,Humberto,Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7,0,http://ufcstats.com/fighter-details/2c2caf2f2bab9df5
179,Tae Hyun,Bang,The Korean Cowboy,"5' 9""",155 lbs.,"71.0""",Switch,18,10,0,http://ufcstats.com/fighter-details/9a2d3567abc02e34
180,Yohan,Banks,,--,--,--,,2,1,0,http://ufcstats.com/fighter-details/c50ea21fe9ef478d
181,Antonio,Banuelos,,"5' 5""",135 lbs.,"63.0""",Orthodox,19,7,1,http://ufcstats.com/fighter-details/9ddfb3369a3b0394
182,Renan,Barao,The Baron,"5' 6""",135 lbs.,"70.0""",Orthodox,36,8,0,http://ufcstats.com/fighter-details/2c99576fefe53c7c
183,Junior,Barata,,"5' 10""",170 lbs.,--,Orthodox,8,3,1,http://ufcstats.com/fighter-details/06dced58ca24a6bd
184,Maycee,Barber,The Future,"5' 5""",125 lbs.,"65.0""",Switch,7,0,0,http://ufcstats.com/fighter-details/6a740daf1b279661
185,Bryan,Barberena,Bam Bam,"6' 0""",170 lbs.,"72.0""",Southpaw,14,7,0,http://ufcstats.com/fighter-details/a331233f597090a5
186,Edson,Barboza,Junior,"5' 11""",155 lbs.,"75.0""",Orthodox,20,7,0,http://ufcstats.com/fighter-details/64a50dad704d1d49
187,Raoni,Barcelos,,"5' 7""",135 lbs.,"67.0""",Orthodox,14,1,0,http://ufcstats.com/fighter-details/b9f28e7045fdfce7
188,Luke,Barnatt,The Bigslow,"6' 6""",185 lbs.,"77.0""",Orthodox,8,3,0,http://ufcstats.com/fighter-details/172c2135e70f87b7
189,James,Barnes,,"5' 8""",145 lbs.,--,,7,2,0,http://ufcstats.com/fighter-details/c06a5c95f1169c0b
190,Nick,Barnes,,"5' 11""",170 lbs.,--,,11,2,0,http://ufcstats.com/fighter-details/78a5eea49638685d
191,Josh,Barnett,The Warmaster,"6' 3""",250 lbs.,"78.0""",Orthodox,35,8,0,http://ufcstats.com/fighter-details/ad3f53c454cbbead
192,Chris,Barnhizer,,--,--,--,,1,3,0,http://ufcstats.com/fighter-details/91e69a1c3c87325b
193,David,Baron,,"5' 6""",155 lbs.,--,Switch,17,3,1,http://ufcstats.com/fighter-details/80c0bed43da0e27b
